origin,destination,count
ABE,ATL,853
22069,48423,7
22073,48367,7
22079,48257,7
22083,48203,7
35017,48389,7
35025,48133,7
35025,48495,7
35025,48173,7
40081,48227,7
40109,48139,7
48001,48439,7
48003,48441,7
48027,48449,7
48029,48223,7
48037,48491,7
48037,48423,7
48041,48439,7
48041,48367,7
48059,48363,7
48073,48439,7
48073,48183,7
48081,48329,7
48081,48227,7
48081,48353,7
48085,22017,7
48085,48221,7
48091,48439,7
48109,48335,7
48113,48343,7
48113,48449,7
48135,48059,7
48135,48113,7
48135,48367,7
48135,48165,7
48139,40019,7
48139,48449,7
48139,48251,7
48139,48375,7
48141,48113,7
48159,48139,7
48159,48029,7
48169,48441,7
48169,48329,7
48183,48459,7
48183,22079,7
48201,48231,7
48201,48423,7
48203,48121,7
48217,48397,7
48217,5119,7
48217,48159,7
48217,48449,7
48223,48029,7
48251,48497,7
48253,48417,7
48257,22061,7
48257,22119,7
48257,22015,7
48257,22073,7
48283,48113,7
48283,48223,7
48289,48367,7
48303,48059,7
48303,48399,7
48303,48439,7
48309,5019,7
48309,48121,7
48317,48383,7
48325,48113,7
48329,48243,7
48329,48485,7
48329,48267,7
48335,48059,7
48343,48367,7
48347,48203,7
48353,35013,7
48353,48251,7
48353,48003,7
48353,35025,7
48363,48353,7
48365,48499,7
48367,48503,7
48371,35025,7
48383,48003,7
48389,48229,7
48397,48353,7
48397,48217,7
48397,48423,7
48405,48183,7
48423,48077,7
48441,48389,7
48441,48251,7
48449,48113,7
48449,48367,7
48453,48037,7
48467,22083,7
48485,48139,7
48485,48113,7
48491,48085,7
48491,5019,7
48497,48221,7
48499,48365,7
5035,48217,6
5091,48133,6
5117,48113,6
5119,48027,6
5123,48027,6
5123,48367,6
5125,48217,6
22013,48423,6
22015,48315,6
22017,48067,6
22031,48459,6
22083,48439,6
22097,48113,6
22105,48113,6
22119,48133,6
22121,48467,6
35015,48173,6
35015,48317,6
35015,48133,6
35017,48475,6
35023,48353,6
35025,48441,6
35029,48353,6
40019,48439,6
40049,48113,6
40109,48353,6
48001,48183,6
48001,48497,6
48003,48059,6
48005,48113,6
48013,48113,6
48029,5099,6
48059,48335,6
48067,48183,6
48071,48439,6
48073,48203,6
48093,48439,6
48099,48439,6
48103,48103,6
48109,48133,6
48113,48503,6
48113,48077,6
48113,48415,6
48113,48035,6
48121,48059,6
48121,48121,6
48139,48133,6
48139,5123,6
48143,48085,6
48147,48439,6
48159,48309,6
48161,48077,6
48163,48223,6
48181,48367,6
48183,48073,6
48183,22081,6
48197,48467,6
48201,48475,6
48201,48337,6
48201,48197,6
48203,48073,6
48203,48499,6
48215,48037,6
48217,48257,6
48217,40013,6
48221,48251,6
48223,48353,6
48223,48309,6
48223,48251,6
48227,35013,6
48231,48441,6
48231,48091,6
48231,48453,6
48237,48251,6
48243,48135,6
48251,48329,6
48251,48251,6
48253,48135,6
48257,48353,6
48257,48027,6
48265,48329,6
48301,48441,6
48303,48049,6
48303,48367,6
48303,48371,6
48309,48449,6
48315,48401,6
48317,48059,6
48329,48207,6
48335,48389,6
48335,48113,6
48335,48367,6
48339,48497,6
48339,48085,6
48347,48183,6
48349,48231,6
48353,48257,6
48353,40033,6
48363,48497,6
48363,48143,6
48365,48439,6
48367,48337,6
48367,48203,6
48375,48439,6
48389,48165,6
48395,48113,6
48415,48335,6
48417,48253,6
48419,48439,6
48419,48423,6
48423,48441,6
48423,22079,6
48423,48309,6
48423,22083,6
48423,48139,6
48425,48497,6
48431,48317,6
48431,48227,6
48439,48097,6
48439,22119,6
48439,48237,6
48439,48335,6
48439,48049,6
48441,48109,6
48441,48121,6
48441,48139,6
48441,48485,6
48441,48085,6
48451,48389,6
48451,48303,6
48451,48363,6
48453,48121,6
48453,22017,6
48459,22015,6
48467,48213,6
48467,48231,6
48467,22073,6
48479,48449,6
48479,5057,6
48485,48289,6
48491,48037,6
48491,48223,6
48491,48257,6
48499,48203,6
5027,48423,5
5059,48367,5
5091,48423,5
5117,48027,5
5117,48367,5
5123,48439,5
5125,48439,5
22015,48367,5
22015,22017,5
22017,48343,5
22017,40109,5
22017,48349,5
22017,48001,5
22061,48139,5
22063,48113,5
22069,48203,5
22073,48439,5
22083,48257,5
22097,48439,5
22099,48467,5
22119,48085,5
22121,48423,5
35009,48133,5
35015,48371,5
35023,48133,5
40017,48329,5
40035,48113,5
40051,48329,5
40051,48353,5
40091,48217,5
40109,48423,5
40109,48227,5
40121,48113,5
48003,48451,5
48005,48439,5
48005,48183,5
48027,48085,5
48027,48159,5
48029,5091,5
48029,48085,5
48029,48159,5
48037,48059,5
48037,48203,5
48037,48183,5
48037,48029,5
48043,48329,5
48043,48135,5
48049,48441,5
48049,48113,5
48059,48475,5
48059,48257,5
48067,48423,5
48073,48467,5
48085,48441,5
48085,48133,5
48091,48223,5
48093,48441,5
48097,48423,5
48113,40005,5
48113,22031,5
48113,48375,5
48113,48425,5
48113,48197,5
48113,48473,5
48113,48485,5
48113,48399,5
48113,48475,5
48113,40101,5
48121,48329,5
48121,48401,5
48121,22073,5
48121,22119,5
48121,48085,5
48133,48467,5
48133,48121,5
48135,48431,5
48135,48501,5
48139,48337,5
48139,5119,5
48139,48221,5
48139,48183,5
48141,48363,5
48141,48495,5
48151,48135,5
48159,48353,5
48159,48133,5
48161,48397,5
48183,48085,5
48183,48001,5
48183,22069,5
48191,48139,5
48201,48183,5
48201,40013,5
48203,48419,5
48203,48497,5
48215,48329,5
48217,48085,5
48217,5125,5
48219,48353,5
48225,48203,5
48227,48121,5
48227,48363,5
48235,48227,5
48251,48059,5
48251,22017,5
48251,48183,5
48253,48227,5
48257,48401,5
48267,48329,5
48277,48423,5
48277,48257,5
48283,48439,5
48297,48353,5
48297,48113,5
48301,48103,5
48303,48173,5
48309,48329,5
48309,22017,5
48309,48353,5
48329,48121,5
48335,48141,5
48335,48475,5
48339,48135,5
48341,48353,5
48353,48121,5
48353,22017,5
48353,48201,5
48363,48227,5
